epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.10257,2.40523,4.06174,1.69308,0.00015,0.04266,9e-05,3e-05,1.47326,4.08129,1.19752,6.668e-05,6.668e-05,6.668e-05
2,8.59195,2.42431,4.06771,1.71647,0.00022,0.05853,0.00013,4e-05,1.44473,4.07574,1.18365,0.000149031,0.000149031,0.000149031
3,10.2305,2.15414,3.83935,1.48421,0.00173,0.4504,0.00465,0.00135,1.83488,3.96406,1.17973,0.000230271,0.000230271,0.000230271
4,11.7705,1.75346,3.0603,1.16504,0.00242,0.66369,0.00842,0.00204,1.96407,3.86618,1.25372,0.000310402,0.000310402,0.000310402
5,13.3457,1.65451,2.35198,1.11535,0.00308,0.79762,0.08566,0.0209,1.91914,3.64461,1.1642,0.000389422,0.000389422,0.000389422
6,14.8277,1.59902,1.95001,1.11197,0.00197,0.53968,0.03235,0.00428,2.01156,3.75265,1.29135,0.000467332,0.000467332,0.000467332
7,16.2846,1.56582,1.82571,1.10087,0.0026,0.70437,0.01566,0.00368,2.00476,3.59747,1.2615,0.000544131,0.000544131,0.000544131
8,17.7648,1.46263,1.65015,1.0635,0.00303,0.81548,0.14766,0.04379,2.00759,3.3782,1.28312,0.000619821,0.000619821,0.000619821
9,19.2542,1.44602,1.61529,1.06641,0.00309,0.8502,0.26467,0.09699,1.7222,3.30202,1.14428,0.0006944,0.0006944,0.0006944
10,20.7577,1.43972,1.62566,1.06386,0.00188,0.52282,0.02226,0.01433,2.20875,3.38151,1.26522,0.000767869,0.000767869,0.000767869
11,22.2897,1.44903,1.58656,1.07286,0.00308,0.84325,0.12284,0.06535,1.44002,3.2794,0.97936,0.000840228,0.000840228,0.000840228
12,23.8037,1.38129,1.54144,1.04936,0.0033,0.91865,0.26189,0.10987,1.82818,3.05969,1.08964,0.000911477,0.000911477,0.000911477
13,25.3151,1.37398,1.50254,1.05188,0.00347,0.96627,0.32257,0.13807,1.5471,2.82969,1.01049,0.000981615,0.000981615,0.000981615
14,26.8776,1.37884,1.48691,1.03521,0.00339,0.94147,0.39251,0.18084,1.4979,2.83257,0.98333,0.00105064,0.00105064,0.00105064
15,28.7614,1.36758,1.46824,1.06869,0.00373,0.97619,0.35542,0.16048,1.59016,2.78356,1.01358,0.00111856,0.00111856,0.00111856
16,30.2662,1.3883,1.44939,1.05758,0.0018,0.47917,0.02555,0.01127,2.61123,3.47742,1.44009,0.00118537,0.00118537,0.00118537
17,31.9565,1.47264,1.5033,1.07563,0.00188,0.51984,0.00962,0.00443,2.39258,3.67637,1.32858,0.00125107,0.00125107,0.00125107
18,33.5558,1.51155,1.52946,1.10144,0.53744,0.0832,0.17864,0.0709,2.30062,3.00803,1.31396,0.00131565,0.00131565,0.00131565
19,35.1273,1.43658,1.51715,1.06072,0.52141,0.08081,0.22826,0.10765,2.04807,2.84862,1.19263,0.00137913,0.00137913,0.00137913
20,36.6687,1.38622,1.44679,1.0647,0.5081,0.1627,0.36439,0.17058,1.80507,2.43991,1.08075,0.0014415,0.0014415,0.0014415
21,38.1628,1.35983,1.42171,1.03646,0.43575,0.23953,0.43167,0.23427,1.50182,2.34396,0.98672,0.00144496,0.00144496,0.00144496
22,39.6348,1.38011,1.40749,1.05854,0.35336,0.43353,0.32933,0.14904,1.72212,2.09407,1.19144,0.00143385,0.00143385,0.00143385
23,41.1045,1.34393,1.39014,1.05434,0.34536,0.33036,0.29061,0.11389,2.00081,2.153,1.45242,0.00142275,0.00142275,0.00142275
24,42.6004,1.34279,1.35903,1.03929,0.45162,0.7877,0.5156,0.29779,1.28831,1.51977,0.9847,0.00141165,0.00141165,0.00141165
25,44.0922,1.29764,1.32597,1.02871,0.40213,0.7583,0.46078,0.24777,1.37881,1.709,0.99267,0.00140055,0.00140055,0.00140055
26,45.621,1.29814,1.31473,1.03216,0.38427,0.63348,0.41969,0.22227,1.41883,1.73332,0.98768,0.00138944,0.00138944,0.00138944
27,47.1984,1.34032,1.33433,1.04149,0.42794,0.78174,0.49728,0.2301,1.67726,1.5691,1.09871,0.00137834,0.00137834,0.00137834
28,48.9888,1.33083,1.30972,1.04544,0.44083,0.79844,0.51493,0.16115,2.20558,1.5676,1.34509,0.00136724,0.00136724,0.00136724
29,50.7312,1.31727,1.29611,1.04278,0.48469,0.66337,0.52574,0.26477,1.55377,1.77932,1.03187,0.00135614,0.00135614,0.00135614
